session,session_id,study_id,created,modified,ended,expired,time_1_start,user_car_1,user_car_2,user_bev,default_range,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,txt_parking,mc_neighbor,mc_max_range,mc_umc,txt_smc,mc_lv2_charger,user_range,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,time_1_end,mc_car_number,has_bev,plan_bev
43x7BSBV_vuEqRWljwLA8-RQEyvwPTmnjVihg57p8UnQo3OFSX2w9W0LXmrbOQMz,35543024,141363,2024-10-02 08:53:36,2024-10-02 08:58:44,2024-10-02 08:58:44,,2024-10-02 08:53:36,tesla_model_x,NA_NA,tesla_model_x,300,yes,by_car,4,31_to_50,private_garage,,yes,450,smc,Communication ,yes,450,yes,7,3_to_5,yes,7,3_to_5,2024-10-02 08:58:44,1,yes,
8TT5JQCAkV42LTWtDnARqbW1rHGcKbt6fBp1wIwv89-W_vpMcqMCcVXgCUH7YFL4,35543152,141363,2024-10-02 09:00:41,2024-10-02 09:01:59,2024-10-02 09:02:00,,2024-10-02 09:00:41,chevrolet_bolt_euv,honda_pilot,chevrolet_bolt_euv,250,no,,,below_10,private_garage,,yes,250,no,,yes,250,yes,1,3_to_5,no,,,2024-10-02 09:01:59,3,yes,
d8SrPJO887bU5PhqN9PATApgcxAfhxhDzHpIU3F5tbSjirs22mQp9bjOtXVfAFdU,35543366,141363,2024-10-02 09:03:11,2024-10-02 09:05:14,2024-10-02 09:05:14,,2024-10-02 09:03:12,tesla_model_s,toyota_highlander_hybrid,tesla_model_s,300,yes,by_car,3,31_to_50,private_garage,,yes,250,app,,yes,250,yes,7,5_to_8,no,,,2024-10-02 09:05:14,2,yes,
T0gKwypFiXeziWngG8ja-c_IEvKCPbcwU5IoK9q0eFU8-xKR7kp5kMOwm5OfiYh3,35544397,141363,2024-10-02 11:21:09,2024-10-02 11:23:06,2024-10-02 11:23:06,,2024-10-02 11:21:10,tesla_model_3,NA_NA,tesla_model_3,300,yes,by_car,4,51_to_100,private_garage,,yes,250,app,,no,250,yes,4,more_than_8,no,,,2024-10-02 11:23:06,1,yes,
1dUl2UeCtrhweD74xiAJbbUQr77-naSfeK9dnnMAGGFO4FN3P98KAwrL_87CdXzd,35544444,141363,2024-10-02 11:24:44,2024-10-02 11:27:13,2024-10-02 11:27:13,,2024-10-02 11:24:44,tesla_model_s,jeep_compass,tesla_model_s,300,yes,by_car,5,31_to_50,driveway,,no,250,app,,yes,250,yes,3,3_to_5,no,,,2024-10-02 11:27:13,2,yes,
x-l10c27n_g2LTcAxa6ybihJTJDHtLPkS8axCa9gy5K4fJ-yKfofKR_sQH7nKt84,35544530,141363,2024-10-02 11:33:06,2024-10-02 11:35:10,2024-10-02 11:35:10,,2024-10-02 11:33:06,mazda_6,NA_NA,kia_niro_ev,250,yes,by_car,5,10_to_30,shared_lot,,no,idk,no,,no,250,no,,,no,,,2024-10-02 11:35:10,1,no,yes
SVdFxUsxdIEcwidxnI7xpeQEamPsTeeNg3mDpF4fefc7SO7aO0ZQm9-EqaxNDNP8,35544677,141363,2024-10-02 11:41:42,2024-10-02 11:44:23,2024-10-02 11:44:23,,2024-10-02 11:41:42,audi_q_8,NA_NA,bmw_i_7,300,yes,by_car,5,51_to_100,shared_garage,,no,500,app,,yes,500,yes,2,5_to_8,yes,5,5_to_8,2024-10-02 11:44:23,1,no,yes
ah9tRsj-u6voxwZ5X7vMCceKKeG21-hwdgMn8fdiye8ResUKtkRQWl_6Slr9O1Jl,35545204,141363,2024-10-02 11:58:25,2024-10-02 12:01:52,2024-10-02 12:01:52,,2024-10-02 11:58:25,bmw_x_3,ford_f_250,bmw_i_5,250,yes,by_car,6,51_to_100,private_garage,,yes,450,app,,yes,450,yes,4,3_to_5,no,,,2024-10-02 12:01:52,2,no,yes
msJm6EbFPHDy4zeYyaanQn-DVazdo6sdMlN0CJEY4Pif8kTNMeBl_7EAQd1py-DW,35545614,141363,2024-10-02 12:11:59,2024-10-02 12:19:38,2024-10-02 12:19:38,,2024-10-02 12:11:59,chevrolet_bolt_euv,honda_fit,chevrolet_bolt_euv,250,yes,by_car,5,10_to_30,private_garage,,not_sure,300,app,,yes,300,yes,5,5_to_8,no,,,2024-10-02 12:19:38,2,yes,
GLQzglWY2A72_YklFSAMrc1GXEjD7L1fvC-HQeFHFK8v_6i8O1FnZ8Y2hMiOlxGi,35546414,141363,2024-10-02 12:53:13,2024-10-02 12:58:34,2024-10-02 12:58:34,,2024-10-02 12:53:14,chevrolet_volt,NA_NA,chevrolet_blazer_ev,300,no,,,below_10,private_garage,,yes,100,no,,yes,100,yes,1,3_to_5,no,,,2024-10-02 12:58:34,1,no,yes
W9kTm2azFuJonlNPqG6OFRIunc3fs70Uxa0ij9IVIuhLtcW4HAo7G8wUdXFj8qZN,35546445,141363,2024-10-02 12:55:00,2024-10-02 12:56:41,2024-10-02 12:56:41,,2024-10-02 12:55:00,tesla_model_y,audi_s_8,tesla_model_y,300,yes,by_car,7,51_to_100,private_garage,,yes,250,app,,yes,250,yes,7,5_to_8,yes,7,5_to_8,2024-10-02 12:56:41,2,yes,
G9Er1ee7UR7rU_Bc29PDV7K4MNDCBlI7SdH2zMIxHTfT__xA5J40ic3efy_irKhq,35546448,141363,2024-10-02 12:55:08,2024-10-02 12:59:57,2024-10-02 12:59:57,,2024-10-02 12:55:08,chevrolet_bolt_ev,honda_fit,chevrolet_bolt_ev,250,yes,by_car,5,10_to_30,private_garage,,not_sure,300,app,,yes,300,yes,5,5_to_8,no,,,2024-10-02 12:59:57,2,yes,
fYV4x3-xuTPW5G98Iucmjum4taeSnTaspRZw4dNVj7jFchXWADbOM07k_Vp6bsUL,35546520,141363,2024-10-02 12:58:35,2024-10-02 13:07:42,2024-10-02 13:07:42,,2024-10-02 12:58:35,ford_bronco_sport,chevrolet_silverado_1500_limited,tesla_model_y,300,yes,by_car,5,31_to_50,private_garage,,yes,450,no,,yes,450,yes,7,5_to_8,yes,7,3_to_5,2024-10-02 13:07:42,2,no,yes
yL4tGFDp5HyNtuSCRT2y1AH9-w_gQXWBGd2hfsIHxJziUU54xhuwvb0QV8UV33vI,35546569,141363,2024-10-02 13:00:16,2024-10-02 13:05:31,2024-10-02 13:05:31,,2024-10-02 13:00:17,bmw_i_x,tesla_model_s,bmw_i_x,300,yes,"by_car, by_bus, by_train",6,51_to_100,private_garage,,yes,450,app,,yes,450,yes,6,3_to_5,yes,6,5_to_8,2024-10-02 13:05:31,2,yes,
ICWyezea_C9E9VFb6gsrMkx4c0s8K241IYkgRwpOT9thSBBxBuWp5TxWwCGsqiPD,35546620,141363,2024-10-02 13:02:45,2024-10-02 13:04:41,2024-10-02 13:04:41,,2024-10-02 13:02:45,nissan_leaf,NA_NA,nissan_leaf,150,yes,by_car,3,31_to_50,shared_garage,,yes,250,app,,yes,250,yes,3,3_to_5,no,,,2024-10-02 13:04:41,1,yes,
LOXsUG8cTr-XxDtj9Mm_fcV5N9zzPsm4vMj3-XQxtifSI7bWb4EmyOsLeTm-OXmq,35546868,141363,2024-10-02 13:13:43,2024-10-02 13:15:08,2024-10-02 13:15:08,,2024-10-02 13:13:43,audi_e_tron,NA_NA,audi_e_tron,200,yes,by_car,4,10_to_30,shared_garage,,yes,200,app,,yes,200,yes,6,5_to_8,yes,2,less_than_3,2024-10-02 13:15:08,1,yes,
3ZiALaLun0-wAOw6ejeXVE9z9DtMOAZTWkl03HMO_pWtpIKxmBkoUiDlEpu9rJnW,35546882,141363,2024-10-02 13:14:32,2024-10-02 13:15:58,2024-10-02 13:15:59,,2024-10-02 13:14:32,honda_cr_v_hybrid,honda_cr_v,tesla_model_3,300,yes,by_car,4,51_to_100,private_garage,,yes,250,smc,Smart charge,yes,250,yes,5,5_to_8,no,,,2024-10-02 13:15:58,2,no,yes
Y2wtGrS06rzW1ZtG6QkiOIZAabvCpOtaxUCmbjxwXkWq5X3ed0mLlJ-OC37At6jk,35547027,141363,2024-10-02 13:23:22,2024-10-02 13:24:59,2024-10-02 13:25:00,,2024-10-02 13:23:22,ford_escape,NA_NA,bmw_i_7,300,yes,by_car,5,31_to_50,private_garage,,yes,450,smc,Ford,yes,450,yes,5,5_to_8,yes,5,5_to_8,2024-10-02 13:25:00,1,no,yes
Bq7CkU_JWKeRYTYc1ibE1grqOGxgQwGpU2yIVN3V9sRbDazyI0vDOUCCJ8d032-F,35547041,141363,2024-10-02 13:24:33,2024-10-02 13:26:15,2024-10-02 13:26:16,,2024-10-02 13:24:33,tesla_model_s,NA_NA,tesla_model_s,300,yes,by_car,5,31_to_50,private_garage,,yes,300,no,,yes,300,yes,4,3_to_5,no,,,2024-10-02 13:26:16,1,yes,
zwQ2OO2p3c7eiq1JhsxnoFu1pSLZNamt2II0AzJsj7T6ezS2v3nl17qohNTCid1e,35547176,141363,2024-10-02 13:32:54,2024-10-02 13:35:27,2024-10-02 13:35:28,,2024-10-02 13:32:55,tesla_model_s,toyota_tundra,tesla_model_s,300,no,,,10_to_30,private_garage,,yes,300,app,,yes,300,yes,4,more_than_8,no,,,2024-10-02 13:35:27,3,yes,
vzDMKvv1Ip0MkXgC2bbbmKwuAX5vdEDB7AcAoQaGyA1A-szvAbCgnilJ3r-jbuK2,35547224,141363,2024-10-02 13:35:04,2024-10-02 13:36:29,2024-10-02 13:36:29,,2024-10-02 13:35:05,tesla_model_3,ford_bronco,tesla_model_3,300,yes,by_car,5,10_to_30,private_garage,,yes,300,app,,yes,300,yes,1,5_to_8,no,,,2024-10-02 13:36:29,2,yes,
L_6DkLAJxxrqeBjX8X2EmJbTVUpQvbqbWiT0A37WNFyo3JScyAyVibXnJ4fIEb9d,35547242,141363,2024-10-02 13:35:32,2024-10-02 13:38:10,2024-10-02 13:38:10,,2024-10-02 13:35:32,toyota_corolla,hyundai_elantra,tesla_model_3,300,yes,by_car,5,10_to_30,private_garage,,yes,300,app,,yes,300,yes,3,less_than_3,yes,3,less_than_3,2024-10-02 13:38:10,2,no,yes
GFIi415mPpJ5ZcgQFKai_XsyMGOSJequWq8HPYB0ad2fVloH0ZuvJ22LTdlUUQhn,35547282,141363,2024-10-02 13:38:27,2024-10-02 13:39:50,2024-10-02 13:39:50,,2024-10-02 13:38:28,chrysler_pacifica,cadillac_ct_6_v,honda_fit_ev,100,no,,,below_10,other,No,no,150,no,,yes,150,no,,,no,,,2024-10-02 13:39:50,5,no,yes
foG1v9NAFr2eJ9X5E-i0E7yqnJwWHpXN1TY9eaZUuxt0Bdmny_Ckiap_mRmKI1cs,35547290,141363,2024-10-02 13:38:48,2024-10-02 13:40:44,2024-10-02 13:40:44,,2024-10-02 13:38:48,tesla_model_x,acura_integra,tesla_model_x,300,yes,by_car,7,10_to_30,private_garage,,not_sure,350,smc,tesla,yes,350,yes,4,3_to_5,yes,4,less_than_3,2024-10-02 13:40:44,2,yes,
6PF7jsvq9NGSUagLrv33nI7NY2l-7IcUtxPF0GDzAZUTxIen7BRWKYTUkomjQ_Wp,35547309,141363,2024-10-02 13:39:51,2024-10-02 13:41:26,2024-10-02 13:41:26,,2024-10-02 13:39:52,tesla_model_3,NA_NA,tesla_model_3,300,no,,,below_10,private_garage,,not_sure,250,no,,yes,250,yes,1,3_to_5,no,,,2024-10-02 13:41:26,1,yes,
ckF66_MBp1pfr1TNqJwYtrKp7vVBWtUEGjKIacPZN9OQl7lykKx7tvsPPe_Sz5Z8,35547364,141363,2024-10-02 13:42:29,2024-10-02 13:48:59,2024-10-02 13:48:59,,2024-10-02 13:42:29,ford_mustang_mach_e,NA_NA,ford_mustang_mach_e,250,yes,by_car,5,31_to_50,private_garage,,yes,250,app,,yes,250,yes,4,5_to_8,yes,2,5_to_8,2024-10-02 13:48:59,1,yes,
TcoX1c72PIKZ6gQY5VTlVknsSqm9GSoOtvWqjfQa6h_CJkvxVKeOengmGxnUd_Qn,35547682,141363,2024-10-02 13:51:32,2024-10-02 13:53:21,2024-10-02 13:53:22,,2024-10-02 13:51:33,tesla_model_y,ferrari_f_430,tesla_model_y,300,no,,,10_to_30,private_garage,,yes,350,no,,yes,350,yes,4,5_to_8,no,,,2024-10-02 13:53:22,2,yes,
cCNEUw_zB3AewJzusYm1TU8mo0a8h6hnfcdp9x249_CADfwCy_rr8ZnDlzDLXaji,35547881,141363,2024-10-02 13:59:36,2024-10-02 14:01:37,2024-10-02 14:01:37,,2024-10-02 13:59:36,nissan_leaf,NA_NA,nissan_leaf,150,no,,,10_to_30,street,,yes,100,no,,no,100,no,,,yes,7,less_than_3,2024-10-02 14:01:37,1,yes,
olklB3Ja0cdAjBPMc3AbYuLD8uef7SKIgpwqGl2S1DrFNhU36rCTFaxk-XqvUzON,35547911,141363,2024-10-02 14:00:47,2024-10-02 14:04:28,2024-10-02 14:04:28,,2024-10-02 14:00:47,bmw_x_3,NA_NA,tesla_model_s,300,yes,by_car,5,below_10,private_garage,,yes,400,app,,yes,400,yes,2,3_to_5,no,,,2024-10-02 14:04:28,1,no,yes
FkspSne89lAdRZeb6ksD6KlkuuHflJpwJvLRU4gI6XNNEHHrn6cAEoAW9gmwtbiV,35547949,141363,2024-10-02 14:02:15,2024-10-02 14:04:09,2024-10-02 14:04:09,,2024-10-02 14:02:16,ford_f_150,NA_NA,ford_f_150_lightning,300,yes,by_car,5,10_to_30,private_garage,,yes,400,app,,yes,400,yes,5,more_than_8,yes,2,3_to_5,2024-10-02 14:04:09,1,no,yes
3Q0f-6XSDWbXiKKz-pfB8uslxVT4cDHR0Uef_yX7iTLq3ievFxDuHL0e6Nxz0-8h,35548009,141363,2024-10-02 14:04:04,2024-10-02 14:06:14,2024-10-02 14:06:14,,2024-10-02 14:04:04,nissan_leaf,NA_NA,nissan_leaf,150,no,,,below_10,private_garage,,not_sure,150,no,,yes,150,yes,7,more_than_8,no,,,2024-10-02 14:06:14,1,yes,
-lD1EYYjff-J5vuEx1BTmhGFaKzhWDglTXQpE7LxlAq5ZUwbKr7mF24R_z_xFBQN,35548056,141363,2024-10-02 14:05:50,2024-10-02 14:07:14,2024-10-02 14:07:14,,2024-10-02 14:05:50,volvo_c_40_recharge,NA_NA,volvo_c_40_recharge,250,no,,,31_to_50,private_garage,,yes,250,app,,yes,250,yes,1,5_to_8,no,,,2024-10-02 14:07:14,1,yes,
V8cQaLdxQYOYkf9F5zSbxaltp8gzyECcqL6GhxH2HZN_EIy-gC3Tu9hn1TO2RA13,35548132,141363,2024-10-02 14:08:52,2024-10-02 14:14:43,2024-10-02 14:14:43,,2024-10-02 14:08:52,bmw_7_series,mercedes_benz_m_class,bmw_i_x,300,no,,,10_to_30,private_garage,,yes,350,app,,yes,350,yes,5,less_than_3,no,,,2024-10-02 14:14:43,2,no,yes
VgDi8IPNbUMEV9fxFbeyWlp0J2zTqYVC-F1jhf_GFTr31CjgU3L9_XEBUQgP74EE,35548207,141363,2024-10-02 14:13:30,2024-10-02 14:16:54,2024-10-02 14:16:54,,2024-10-02 14:13:30,tesla_model_y,NA_NA,tesla_model_y,300,yes,by_car,2,31_to_50,private_garage,,yes,300,app,,no,300,yes,4,5_to_8,yes,1,3_to_5,2024-10-02 14:16:54,1,yes,
pqFwZPLhQEnLY6VzTxPdrGbqos9TJCuC3E_vaUQOpzHRYjDxPt_VaEFg-grtRG50,35548292,141363,2024-10-02 14:17:32,2024-10-02 14:19:33,2024-10-02 14:19:34,,2024-10-02 14:17:32,bmw_i_7,bmw_x_7,bmw_i_7,300,yes,by_car,7,10_to_30,private_garage,,not_sure,600,app,,yes,600,yes,7,more_than_8,no,,,2024-10-02 14:19:34,3,yes,
IOVtqB6v0XwFLtENYhdmtxBzHMuIjf8-AGA3a-BgbaUd078cx2CXxvlGnytV6FsW,35548298,141363,2024-10-02 14:17:50,2024-10-02 14:27:06,2024-10-02 14:27:06,,2024-10-02 14:17:50,tesla_model_y,tesla_model_x,tesla_model_y,300,yes,by_car,5,31_to_50,private_garage,,yes,300,app,,yes,300,yes,4,3_to_5,yes,2,less_than_3,2024-10-02 14:27:06,2,yes,
sMfd_vnZhodCsmwN9twjYK23B6-krc46t5YtczotPEB-PBquhdW82o1O6Ua0IDD9,35548371,141363,2024-10-02 14:23:19,2024-10-02 14:27:04,2024-10-02 14:27:04,,2024-10-02 14:23:19,nissan_leaf,nissan_altima,nissan_leaf,150,no,,,below_10,private_garage,,yes,200,no,,no,200,yes,2,more_than_8,no,,,2024-10-02 14:27:04,2,yes,
AbSUBW3L8a113FwrkmkSKXMknM9_W5uuXoRh8V7D7ZFvmcN6Ao6FTEX3TF0YD0KS,35548478,141363,2024-10-02 14:28:19,2024-10-02 14:31:18,2024-10-02 14:31:19,,2024-10-02 14:28:19,chevrolet_bolt_ev,NA_NA,chevrolet_bolt_ev,250,yes,by_car,5,over_100,private_garage,,yes,250,smc,Optiwatt,yes,250,yes,7,more_than_8,yes,2,5_to_8,2024-10-02 14:31:19,1,yes,
eto49dP_qzbxJ7f2IChtgAO1Fy2mshng3mabIoSdlZUNpyTmqghUCuKKlQGRvYyV,35548571,141363,2024-10-02 14:32:26,2024-10-02 14:33:17,2024-10-02 14:33:17,,2024-10-02 14:32:27,tesla_model_s,NA_NA,tesla_model_s,300,no,,,below_10,private_garage,,no,200,app,,yes,200,no,,,no,,,2024-10-02 14:33:17,1,yes,
PwAvCm77X5aEAd124pD04CdpsLVLRZ7uPdVN_FC99Ue7Pc3QO0kb5lgHRzuk8gZz,35548630,141363,2024-10-02 14:36:08,2024-10-02 14:41:24,2024-10-02 14:41:24,,2024-10-02 14:36:08,tesla_model_3,NA_NA,tesla_model_3,300,no,,,10_to_30,private_garage,,not_sure,150,app,,yes,150,yes,4,3_to_5,no,,,2024-10-02 14:41:24,1,yes,
m2qQgfUk1Pd0y5nXuTlzJT5D7-BfGO2PgyZJFYbzGvE0twUCdn9uMjHvoA0Gk2mB,35548671,141363,2024-10-02 14:38:32,2024-10-02 14:42:16,2024-10-02 14:42:16,,2024-10-02 14:38:32,toyota_tacoma,porsche_macan,tesla_model_s,300,yes,by_car,3,10_to_30,private_garage,,yes,400,app,,yes,400,yes,2,5_to_8,no,,,2024-10-02 14:42:16,5,no,yes
QCBNFnChwvnVUDt0J0nDvtTYG44YBD6YR3VwtwMy7jV5iMNUdxssvuppj4JhiQyu,35548684,141363,2024-10-02 14:41:18,2024-10-02 14:43:42,2024-10-02 14:43:42,,2024-10-02 14:41:19,tesla_model_y,NA_NA,tesla_model_y,300,yes,by_car,3,31_to_50,private_garage,,yes,300,app,,yes,300,yes,3,5_to_8,no,,,2024-10-02 14:43:42,1,yes,
5HmSQIciCetfwj_ZyPFTmPcHcWFremKQdjBSMaLNDa4KSrymDa0JZL2arsMaanq-,35548732,141363,2024-10-02 14:46:05,2024-10-02 14:48:18,2024-10-02 14:48:19,,2024-10-02 14:46:05,chevrolet_bolt_euv,NA_NA,chevrolet_bolt_euv,250,no,,,below_10,private_garage,,no,250,app,,yes,250,yes,7,more_than_8,no,,,2024-10-02 14:48:19,1,yes,
WyML_-hE2wH3Ywds0RR8oB4exOUMgDyyjvczW_n4kbyAJjU_5hM4kcXeGl2E5pcN,35548780,141363,2024-10-02 14:48:43,2024-10-02 14:51:04,2024-10-02 14:51:05,,2024-10-02 14:48:43,bmw_z_4,NA_NA,tesla_model_x,300,yes,"by_car, by_bus",4,31_to_50,driveway,,yes,200,app,,yes,200,yes,5,less_than_3,no,,,2024-10-02 14:51:04,1,no,yes
92HbUtnG35MIuyu2rhpayo39WfDv2nDqBy-Za6doL-WQ29vhOe6zN1XPCvv3UeVp,35548814,141363,2024-10-02 14:51:08,2024-10-02 14:53:37,2024-10-02 14:53:37,,2024-10-02 14:51:08,bmw_x_5,NA_NA,tesla_model_y,300,yes,by_car,5,51_to_100,private_garage,,yes,500,app,,yes,500,yes,5,3_to_5,yes,3,3_to_5,2024-10-02 14:53:37,1,no,yes
QPAjRCXr31q9GIiMTiFLKAhwTmEemw7ceEu8HKoxw_SUxyAsn1QdsCwUW7fgK53a,35548818,141363,2024-10-02 14:51:09,2024-10-02 14:52:46,2024-10-02 14:52:47,,2024-10-02 14:51:09,nissan_ariya,subaru_outback,nissan_ariya,250,no,,,10_to_30,private_garage,,not_sure,200,app,,yes,200,yes,5,5_to_8,no,,,2024-10-02 14:52:46,2,yes,
j1c2e0QPyvKCNZNDFeVDgiaa8MRsIhER4ffFP-pd3cYKO5igRexAO2F4ChtLcoa1,35548928,141363,2024-10-02 14:58:41,2024-10-02 15:03:06,2024-10-02 15:03:07,,2024-10-02 14:58:42,honda_civic,chevrolet_bolt_euv,chevrolet_bolt_euv,250,no,,,10_to_30,private_garage,,not_sure,300,no,,yes,300,yes,1,5_to_8,no,,,2024-10-02 15:03:07,2,yes,
aiVbkj1BijkQFWAKzW2Df7xy3qR7lAQcUTWMc27JMOoCl2wRm6V5saiFC3ZmQz3H,35548933,141363,2024-10-02 14:58:46,2024-10-02 15:01:17,2024-10-02 15:01:17,,2024-10-02 14:58:46,audi_q_4_e_tron,chevrolet_silverado_1500,audi_q_4_e_tron,250,yes,by_car,6,31_to_50,private_garage,,no,300,app,,yes,300,yes,2,more_than_8,no,,,2024-10-02 15:01:17,2,yes,
kB0i7Sh8zWQoH_qn77VUYB4dEFl9apcJUGK2FV_QnYvYJvOUNsH_gjysjfOtrbVc,35549002,141363,2024-10-02 15:01:07,2024-10-02 15:03:05,2024-10-02 15:03:05,,2024-10-02 15:01:07,tesla_model_3,NA_NA,tesla_model_3,300,no,,,below_10,shared_lot,,yes,300,app,,no,300,yes,1,more_than_8,no,,,2024-10-02 15:03:05,1,yes,
FHt-GTr20Nkqp3pLoBwLUdf_kVsTCqAni7XZOttuBh6MCuCBdsWKi4g_E5vO9Uz-,35549033,141363,2024-10-02 15:02:32,2024-10-02 15:04:12,2024-10-02 15:04:12,,2024-10-02 15:02:33,chevrolet_bolt_ev,NA_NA,chevrolet_bolt_ev,250,yes,by_car,2,31_to_50,street,,yes,250,no,,no,250,no,,,yes,1,3_to_5,2024-10-02 15:04:12,1,yes,
7X8ZC4cHL8_vJIu415zsy4521VuB1wMuK76t7S1e8M6Il5oZW3TT133LANxR6RW3,35549097,141363,2024-10-02 15:05:05,2024-10-02 15:06:54,2024-10-02 15:06:54,,2024-10-02 15:05:05,nissan_leaf,audi_q_7,nissan_leaf,150,yes,by_car,3,31_to_50,private_garage,,yes,200,no,,yes,200,yes,7,more_than_8,no,,,2024-10-02 15:06:54,3,yes,
J8DynaJYI2h6AzFzGZX8f2WHAx7XMeYNk31fdZzoGBlmuAo_prru4EdmTX5xumME,35549105,141363,2024-10-02 15:05:27,2024-10-02 15:07:59,2024-10-02 15:07:59,,2024-10-02 15:05:27,tesla_model_3,tesla_model_s,tesla_model_3,300,yes,by_car,5,31_to_50,private_garage,,yes,300,app,,yes,300,yes,4,3_to_5,yes,3,less_than_3,2024-10-02 15:07:59,2,yes,
TfES2bhqWwa83dvm7eJu-peAGRWSZSdDhhoya_Raib28KovpbqPo0ya8vUBmm8v4,35549118,141363,2024-10-02 15:06:46,2024-10-02 15:07:52,2024-10-02 15:07:52,,2024-10-02 15:06:46,acura_rlx,NA_NA,chevrolet_bolt_ev,250,yes,"by_car, by_bus",2,31_to_50,shared_lot,,yes,150,no,,yes,150,yes,3,less_than_3,yes,3,less_than_3,2024-10-02 15:07:52,1,no,yes
HiP4C1K5UHpboW499takfcm-IG1FBg4Xp1xhvXWNG-BgDfFoxFfEj5vpY9B3WgXq,35549153,141363,2024-10-02 15:08:20,2024-10-02 15:16:45,2024-10-02 15:16:45,,2024-10-02 15:08:20,ford_f_150_lightning,subaru_legacy,ford_f_150_lightning,300,no,,,below_10,private_garage,,yes,300,no,,yes,300,yes,2,more_than_8,no,,,2024-10-02 15:16:45,2,yes,
VocL1xD2j3_CKZWIvf4Psytty-L0cGFW5LWfWWlYikVP_sqgzqJShDjsHmfm1yZl,35549270,141363,2024-10-02 15:15:29,2024-10-02 15:23:56,2024-10-02 15:23:57,,2024-10-02 15:15:30,tesla_model_y,ford_explorer,tesla_model_y,300,yes,by_car,2,10_to_30,private_garage,,yes,350,no,,yes,350,yes,2,5_to_8,no,,,2024-10-02 15:23:56,2,yes,
sBpRNTSPa1ewSpGYToCmVPLh4o0x_XxEuLzCqTRgF56d2kycMRlzN3pr7N7Pvt5g,35549279,141363,2024-10-02 15:16:09,2024-10-02 15:18:34,2024-10-02 15:18:34,,2024-10-02 15:16:09,tesla_model_x,NA_NA,tesla_model_x,300,no,,,10_to_30,shared_garage,,no,250,app,,no,250,yes,4,more_than_8,no,,,2024-10-02 15:18:34,1,yes,
3J_1P4G7t0ImyZPB52pRXznzkNBYFjOlrTli8Uj9odt3ZnMpmVY3zcR2I0I5prcg,35549301,141363,2024-10-02 15:18:53,2024-10-02 15:21:57,2024-10-02 15:21:58,,2024-10-02 15:18:53,bmw_i_4,NA_NA,bmw_i_4,250,yes,by_car,5,31_to_50,driveway,,not_sure,200,no,,yes,200,yes,2,5_to_8,no,,,2024-10-02 15:21:57,1,yes,
S32f6qtwaUrCKQNjOgyd2UkuOUPBIZ-IJO1oLxerfEpqVxHlkjipBH5Hq6OwksSJ,35549405,141363,2024-10-02 15:24:36,2024-10-02 15:30:25,2024-10-02 15:30:25,,2024-10-02 15:24:37,tesla_model_3,smart_fortwo,tesla_model_3,300,no,,,below_10,private_garage,,yes,300,app,,yes,300,yes,1,3_to_5,no,,,2024-10-02 15:30:25,2,yes,
RqNl9r-02zpXdXk4lijHy79NvWhmo7FtSXiIBJoIwWkvMUZWmD1ckQAIBSaZpNIR,35549498,141363,2024-10-02 15:29:19,2024-10-02 15:31:41,2024-10-02 15:31:42,,2024-10-02 15:29:19,tesla_model_3,NA_NA,tesla_model_3,300,yes,by_car,5,10_to_30,private_garage,,yes,300,app,,yes,300,yes,3,3_to_5,no,,,2024-10-02 15:31:41,1,yes,
1gYefjCUr-Jm_psyjclBO08zcVJ1tegC16FaH2AV-WNAMxJxINi9hkuda_dK4ezR,35549510,141363,2024-10-02 15:29:44,2024-10-02 15:31:45,2024-10-02 15:31:45,,2024-10-02 15:29:44,kia_niro_ev,NA_NA,kia_niro_ev,250,yes,by_car,5,below_10,shared_lot,,not_sure,300,no,,no,300,no,,,yes,1,5_to_8,2024-10-02 15:31:45,1,yes,
kPWU30At0nXjbu88W-t5BQaJw81sKQrn-uyPr_6ZH1WZOugYZ97j1ylGTUx8E-s_,35549697,141363,2024-10-02 15:33:13,2024-10-02 15:36:31,2024-10-02 15:36:31,,2024-10-02 15:33:14,ford_mustang_mach_e,ford_escape,ford_mustang_mach_e,250,yes,by_car,3,10_to_30,private_garage,,not_sure,300,no,,yes,300,yes,1,more_than_8,no,,,2024-10-02 15:36:31,3,yes,
kdWEfZ0K5OsTd03G7V83oUgLCttKgCUpn-iFzPp63Dz2IyQGaJhnGAaSCiRQSXzA,35549751,141363,2024-10-02 15:34:23,2024-10-02 15:36:42,2024-10-02 15:36:42,,2024-10-02 15:34:23,nissan_leaf,toyota_corolla,nissan_leaf,150,no,,,31_to_50,private_garage,,not_sure,100,no,,yes,100,yes,6,5_to_8,no,,,2024-10-02 15:36:42,3,yes,
MU28dd9-XDZU0XRYmvoETyAXbPXm9BmL22df-DN4YGoVz6w-x0eQrh8YthQk3yXp,35549808,141363,2024-10-02 15:36:04,2024-10-02 15:37:26,2024-10-02 15:37:27,,2024-10-02 15:36:05,tesla_model_x,NA_NA,tesla_model_x,300,no,,,31_to_50,private_garage,,yes,300,no,,no,300,yes,6,5_to_8,no,,,2024-10-02 15:37:26,1,yes,
