session,session_id,study_id,iteration,created,modified,ended,expired,time_4a_start,mc_v2g,mc_v2g_charger,txt_v2g_pay,completion_code,txt_feedback_1,time_4a_end
uVA31eIy5ErJuh2jtVCuJbu5AK6DcKf6z5DoRqG2lLwkCHZ0QRU6-ezfr1VgjuLC,35551503,141366,303,2024-10-02 17:09:10,2024-10-02 17:09:57,2024-10-02 17:09:57,,2024-10-02 17:09:10,yes,no,,272135,,2024-10-02 17:09:57
p2BOt2taK6oPtS3FWfnxyDwbfYT36pEztEiMPwzkIE98y3J4BT8FazUmLy3LK_4_,35551538,141366,304,2024-10-02 17:13:43,2024-10-02 17:15:12,2024-10-02 17:15:12,,2024-10-02 17:13:43,no,,,178690,"I have a pay as you go charger in the condo garage at my parking spott.
",2024-10-02 17:15:12
7cRmRSEN6c9AR0emMkO3DxA18_hvDCainTOsgwzv0Iwcd507no3ZNobfWhkX2T_s,35551593,141366,305,2024-10-02 17:20:09,2024-10-02 17:20:59,2024-10-02 17:20:59,,2024-10-02 17:20:09,yes,yes,250,336148,,2024-10-02 17:20:59
5ggz0nWTTWkSeZzcEVy9UEusaxs4w75VY-qwJmMLyS8xQoVyh6SPaDIBfqAsg_Ns,35551643,141366,306,2024-10-02 17:25:45,2024-10-02 17:26:29,2024-10-02 17:26:29,,2024-10-02 17:25:45,yes,no,,555654,,2024-10-02 17:26:29
1myb_jgMQv_4iCCaIMkBLNVTIkUBk2CpuEaT91GXRnw2XbiLS-gyW5LUVxzW2wX2,35551794,141366,307,2024-10-02 17:36:26,2024-10-02 17:37:05,2024-10-02 17:37:05,,2024-10-02 17:36:27,no,,,618838,Thanks,2024-10-02 17:37:05
dNxugczI6Zf-NGUk4Z1wqT1CDeY9BU0kD2aqzwGCXUtWM9ozNU6V0dDqnGbem860,35551928,141366,308,2024-10-02 17:46:30,2024-10-02 17:46:55,2024-10-02 17:46:55,,2024-10-02 17:46:30,yes,yes,300,547189,,2024-10-02 17:46:55
5EkSVRHPMArQG8kxl8fiFnQFb7m4jEGhBEo3enAlwdPlEPcThBiVlyFibJbjepJu,35551999,141366,309,2024-10-02 17:50:06,2024-10-02 17:51:20,2024-10-02 17:51:21,,2024-10-02 17:50:06,yes,no,,840656,,2024-10-02 17:51:20
QM6gr65gUEsfhr854hmTBEm9DC2KB3NGNAFCpnO6hWzWfMGlJ3OnigDvLFL6kLJs,35552043,141366,310,2024-10-02 17:51:31,2024-10-02 17:52:32,2024-10-02 17:52:33,,2024-10-02 17:51:31,yes,yes,350,294478,,2024-10-02 17:52:33
qZGnHHFN68bGbjik1QilLcBNJc3HB04AAPPLK7VfnlxikFwJ4BpctX1VZVUdSbAF,35552109,141366,311,2024-10-02 17:52:58,2024-10-02 17:53:36,2024-10-02 17:53:36,,2024-10-02 17:52:58,yes,no,,701233,,2024-10-02 17:53:36
6jjeIk6STu6EDeKL6yL1FmBfy1An_Jq4t_d3iByH7-YyTPAOF5KvHDijGuY_8obW,35552169,141366,312,2024-10-02 17:54:30,2024-10-02 17:55:04,2024-10-02 17:55:05,,2024-10-02 17:54:31,yes,yes,500,956516,,2024-10-02 17:55:05
Y5FBG42DHsTtDbqBhj_nT3TgWHrqKgoMu18_yX2tFmT3-sErO3OQV8TyGWxdvI4F,35552189,141366,313,2024-10-02 17:55:29,2024-10-02 21:54:25,2024-10-02 21:54:26,,2024-10-02 17:55:29,yes,no,,743901,,2024-10-02 21:54:26
VOm8zpb1B4eBNcyA3XeMGKMvls6vXNPQ814TUDgVcc-qZ7N7Q7NtYmkcUn4h5zvf,35552214,141366,314,2024-10-02 17:56:36,2024-10-02 17:57:11,2024-10-02 17:57:12,,2024-10-02 17:56:37,no,,,165416,,2024-10-02 17:57:11
TED32hqpqj1Xsb8mtk6Yuxrn4V0hMspSqaQ6rn2_eBJ3aPimzLSZEjVyPuALP4_l,35552327,141366,315,2024-10-02 18:01:05,2024-10-02 18:02:02,2024-10-02 18:02:02,,2024-10-02 18:01:05,no,,,628402,,2024-10-02 18:02:02
_xXoaOEUkiXVhlQi1nzJAKTxUrPNWyjfYS0wurVfP9-0Hm547DM_qIq2EYHEvf4Q,35552336,141366,316,2024-10-02 18:01:36,2024-10-02 18:02:16,2024-10-02 18:02:17,,2024-10-02 18:01:36,no,,,768479,,2024-10-02 18:02:16
_xpQlbT4OPA3VjvWffeVIAopOVUnbpF17lM2uvbrxoejbVS5CmWnDy167HgjXIjY,35552371,141366,317,2024-10-02 18:03:13,2024-10-02 18:03:37,2024-10-02 18:03:38,,2024-10-02 18:03:14,no,,,937291,,2024-10-02 18:03:37
lsDCda3dkSl8Ogo4NXY26HHsjQGaMoNx06HBgM7ua043zCpCqv7_erSQSGdNE86W,35552436,141366,318,2024-10-02 18:06:02,2024-10-02 18:06:41,2024-10-02 18:06:41,,2024-10-02 18:06:02,yes,yes,800,448161,,2024-10-02 18:06:41
h4W4kd-RgkvBMNOrl3Lu85o4WNqoKR0VASY1Ym-WdgH37ec_-jUAMubG_DnB0m9-,35552452,141366,319,2024-10-02 18:06:33,2024-10-02 18:07:08,2024-10-02 18:07:08,,2024-10-02 18:06:33,no,,,979669,,2024-10-02 18:07:08
WIPxllBaPO4bW4GSbPDzkZfdxNNQD0sUbuWa5Z8VD_7hJ6ODU4JL_TkQlfMYWg7G,35552504,141366,320,2024-10-02 18:08:59,2024-10-02 18:09:30,2024-10-02 18:09:31,,2024-10-02 18:08:59,yes,yes,200,383652,,2024-10-02 18:09:30
N0NheX72x1CRqXA-Uw4ZZad2wKIyMcp27ozlUu5wpOx7JJJpeF8TA77RCiT2zkms,35552553,141366,321,2024-10-02 18:11:06,2024-10-02 18:11:26,2024-10-02 18:11:26,,2024-10-02 18:11:07,yes,yes,50,569671,,2024-10-02 18:11:26
hzDOrqa0Tz0qo04C9Y0ZAGunG_AqIfQdnCC0fDXAVWWVzxN3m7BtV3wIF5Qe6NNx,35552708,141366,322,2024-10-02 18:22:06,2024-10-02 18:24:17,2024-10-02 18:24:17,,2024-10-02 18:22:06,yes,yes,350,905426,,2024-10-02 18:24:17
QYkqhKzqj7JrMdHfExybE-ly07NCblJYmidXpdp0krFv94dxY0KeGZgVlK4vLSJA,35552731,141366,323,2024-10-02 18:23:33,2024-10-02 18:23:56,2024-10-02 18:23:56,,2024-10-02 18:23:33,no,,,524736,,2024-10-02 18:23:56
tWkon1zK4xTz7PQReE3nGoKm5Lapn_pxWZfxcFOJSQ0eIYgobXdrHA9PcOr1dtVJ,35552782,141366,324,2024-10-02 18:25:32,2024-10-02 18:25:58,2024-10-02 18:25:58,,2024-10-02 18:25:33,yes,yes,300,266792,,2024-10-02 18:25:58
A4UDEH2I7zWQgNWPV6Y0QXCTpaBqZKBPoTnbdfL5y9VE7O1OoJ46Vv0VxwC9qdfa,35552853,141366,325,2024-10-02 18:30:16,2024-10-02 18:30:58,2024-10-02 18:30:59,,2024-10-02 18:30:17,yes,no,,305836,,2024-10-02 18:30:59
Xz4bvpnzKnkfQP6W71zGzKgsUwIXLcFhzVZhJAJQscxx0sPmjcuVpDjQiemVAPm2,35552888,141366,326,2024-10-02 18:32:39,2024-10-02 18:34:57,2024-10-02 18:34:58,,2024-10-02 18:32:39,yes,yes,450,215003,,2024-10-02 18:34:57
NhEF8rKmWn7VNvFXe-ISJ6NlMPtYMMrRxrr4p1aJR-DslbuJsc6p3uxkCA1aTDFV,35552889,141366,327,2024-10-02 18:32:48,2024-10-02 18:33:24,2024-10-02 18:33:25,,2024-10-02 18:32:48,no,,,153074,,2024-10-02 18:33:24
SVVhlj7Nmo9qY-m8lrghRZe3jzjoD5sVc7WVqm9CSKVhZnSNzX0YBnwCtZmlzMvH,35552908,141366,328,2024-10-02 18:33:48,2024-10-02 18:35:22,2024-10-02 18:35:22,,2024-10-02 18:33:48,no,,,693500,You didn’t explain how these choices will effect my bill. ,2024-10-02 18:35:22
zVnflG4lycwQB3xY6r1RdU6jV4CMHnvq1sGA-HLhp7ssRbqpZq0Gzi-f8qyxEI0S,35553073,141366,329,2024-10-02 18:39:33,2024-10-02 18:40:08,2024-10-02 18:40:08,,2024-10-02 18:39:33,no,,,493905,,2024-10-02 18:40:08
vQnwaKixuaE5Su8BAOrZXmh0-n7Uk2xFMDCL37eipOj8xFXlPy6ctdoF2CjD7N4C,35553098,141366,330,2024-10-02 18:40:36,2024-10-02 18:41:20,2024-10-02 18:41:21,,2024-10-02 18:40:37,no,,,176458,,2024-10-02 18:41:20
0W6n4oLnThqk-ImajKJme-7CIzkSWSlVRO-OsI4ugcmlVS6GgQ4zyqJWV8okQOCc,35553106,141366,331,2024-10-02 18:40:50,2024-10-02 18:41:12,2024-10-02 18:41:12,,2024-10-02 18:40:50,no,,,780265,,2024-10-02 18:41:12
p08MdmDuX8rCtbJzrlChqteKeNR8II-m1SZukkZOc9G5VkKsdfRRw3vh83Ks2pRC,35553124,141366,332,2024-10-02 18:41:46,2024-10-02 18:42:32,2024-10-02 18:42:33,,2024-10-02 18:41:46,yes,yes,150,757718,,2024-10-02 18:42:33
DsgHwnqDaTWKNqrZFL8b1-5USztUZoPlwfg4z2UGUHob8OWSuTgrainkKSp6vgs2,35553134,141366,333,2024-10-02 18:42:16,2024-10-02 18:42:39,2024-10-02 18:42:40,,2024-10-02 18:42:16,no,,,930146,,2024-10-02 18:42:39
OI94kBwf5fPteY-Ku6DcoDqszs1YE7zANMnxEB3S9aJ51Dr2kbt93jDjrv935gVg,35553204,141366,334,2024-10-02 18:45:22,2024-10-02 18:47:08,2024-10-02 18:47:09,,2024-10-02 18:45:22,no,,,681138,I charge my volt with solar panels,2024-10-02 18:47:08
AFybuvUHW7wk92OXiZC8knLnPEdEVTsOzsOnoW6abhzBteGXVBnCNBUIuJU6O7Uc,35553213,141366,335,2024-10-02 18:46:00,2024-10-02 18:46:41,2024-10-02 18:46:41,,2024-10-02 18:46:00,no,,,622599,,2024-10-02 18:46:41
PKYojkAb-um_rwX3n6EhSHMtzgUndEDPXTyNwwKVb_TQO_EoEvcek2Y3yWHelhL7,35553218,141366,336,2024-10-02 18:46:26,2024-10-02 18:47:04,2024-10-02 18:47:05,,2024-10-02 18:46:26,yes,yes,1000,983335,,2024-10-02 18:47:05
VJXvT51vPsnDvsPj0xNklzySx7pDKg3Vu2UfS-Qs8Ltn3MlMz_e7LXk-phmz4IOe,35553277,141366,337,2024-10-02 18:49:36,2024-10-02 18:50:35,2024-10-02 18:50:36,,2024-10-02 18:49:36,yes,yes,150,137587,,2024-10-02 18:50:35
wlrd6850v9A5xEJYQRZdlvVtMwcKlmygZm1PZFHLoe--Q-a12IWIlH7jeV8dWrS7,35553278,141366,338,2024-10-02 18:49:37,2024-10-02 18:50:06,2024-10-02 18:50:06,,2024-10-02 18:49:37,yes,no,,597239,,2024-10-02 18:50:06
9jcAWP5J35YdJCm8Cs4UTHylNKRGg-uJwaVqfg9xIihDhw7KKme7EFMKGS_D0U3a,35553283,141366,339,2024-10-02 18:49:54,2024-10-02 18:51:13,2024-10-02 18:51:13,,2024-10-02 18:49:54,no,,,169844,None,2024-10-02 18:51:13
GrnidH_W5Anli4F1zaxL726ExwaXlpVghe7Rii2fkh_Cf_DQGUdpl46_8PK1vKGh,35553333,141366,340,2024-10-02 18:52:49,2024-10-02 18:53:41,2024-10-02 18:53:41,,2024-10-02 18:52:49,no,,,435692,,2024-10-02 18:53:41
AS19donjWMMwx59xHL6vL2M5fPkWp2WrnvL1IOCpaI9w3j79Wv7MNPBlzhL6eJdM,35553337,141366,341,2024-10-02 18:53:05,2024-10-02 18:53:29,2024-10-02 18:53:30,,2024-10-02 18:53:06,no,,,447451,,2024-10-02 18:53:29
UjvlbSEjWOdilGHiYi0YmMEb3Jd91tc7Sin8gKzVXibqGj3dfawTooOcbMdkMVka,35553414,141366,342,2024-10-02 18:58:58,2024-10-02 19:00:19,2024-10-02 19:00:20,,2024-10-02 18:58:58,yes,yes,100,503202,,2024-10-02 19:00:20
ym2VtDBIz05gwfF31ePV5_HCc4erEWnXoh7Pw2DFNBwXzbVKk-WWuOY4yVqskCLJ,35553494,141366,343,2024-10-02 19:03:20,2024-10-02 19:04:07,2024-10-02 19:04:07,,2024-10-02 19:03:20,yes,no,,722466,,2024-10-02 19:04:07
nIq-iqZxVmlmF3JEbuIn6MSvTl3yGcFNVjAiADqRlQDC7k6HMxRLr1YJdBMa2IUN,35553515,141366,344,2024-10-02 19:05:02,2024-10-02 19:05:42,2024-10-02 19:05:42,,2024-10-02 19:05:02,yes,no,,795950,,2024-10-02 19:05:42
nx7TNDKmHSqWm10Mv9ZVg8fn2fRk_789NtkNZ6fYrfwVIh6MFLfoQaIaZTvGUf2P,35553521,141366,345,2024-10-02 19:05:51,2024-10-02 19:06:21,2024-10-02 19:06:21,,2024-10-02 19:05:51,yes,no,,925926,,2024-10-02 19:06:21
jcgsITMuL93_8gN8wQiMaoN-tLDJLaaR8JJUNqTj34AG6xSclpyNTt8UKpom5ETM,35553548,141366,346,2024-10-02 19:08:31,2024-10-02 19:09:21,2024-10-02 19:09:21,,2024-10-02 19:08:31,no,,,891245,This survey took too long to complete.,2024-10-02 19:09:21
8_s9qJdAFpKgpYWLmTd1hdxzz77vICaHAFz3sxv1MuThc-h6GHeWo6u1klD79P4y,35553578,141366,347,2024-10-02 19:12:13,2024-10-02 19:13:15,2024-10-02 19:13:16,,2024-10-02 19:12:13,yes,yes,500,886686,,2024-10-02 19:13:16
nUfByQ63WJaQLGwEACIaUvxs3S7-z2WHFrCs6kf0J5mXfoEOJdaiAoeckX0aHZWS,35553792,141366,348,2024-10-02 19:29:45,2024-10-02 19:31:09,2024-10-02 19:31:10,,2024-10-02 19:29:45,yes,yes,900,668121,,2024-10-02 19:31:09
dB87pxtG43mmpCzwRQh3O5b0XoHWEHMzl1geytGLkAc2uZAOHItyzNqYvBycUfV2,35553858,141366,349,2024-10-02 19:35:11,2024-10-02 19:35:42,2024-10-02 19:35:42,,2024-10-02 19:35:11,no,,,103728,,2024-10-02 19:35:42
MLmCs-58XxIbz7O3cf5LuOtZACi0wGJ2_eFXY9zZ5n1DazR_AppvveMkaB9TCVnJ,35553885,141366,350,2024-10-02 19:37:37,2024-10-02 19:38:24,2024-10-02 19:38:25,,2024-10-02 19:37:37,yes,yes,55,164382,,2024-10-02 19:38:24
-ggUemfmIQ6w-ysVuIyMOvvlBc0mYwTRgl-V2WCax2Md1pI5aQedQPtScq4jZAVn,35553985,141366,351,2024-10-02 19:45:17,2024-10-02 19:46:12,2024-10-02 19:46:12,,2024-10-02 19:45:17,yes,yes,50,254834,,2024-10-02 19:46:12
z62Md7fPNjrjTOeBpj-UksfyxX9Qiv06b1HfBAX6QY-w3xcKKWPxIkvduf5z8x8a,35554050,141366,352,2024-10-02 19:50:16,2024-10-02 19:50:24,2024-10-02 19:50:24,,2024-10-02 19:50:16,yes,no,,121154,,2024-10-02 19:50:24
EuGtjPZXMoNvHti20hBDVC-3CG3-f-Z61xjRmUo-3SMLXIv8LirlgoeMaQiHwrmh,35554137,141366,353,2024-10-02 19:58:09,2024-10-02 19:59:02,2024-10-02 19:59:03,,2024-10-02 19:58:09,yes,no,,952441,,2024-10-02 19:59:03
O-K8gqfYQ4MKbQIZo-1-E3zxKrYU68Brr3Ewqwr6s_p4L4rKoQGVm07oFxFWH1a4,35554706,141366,354,2024-10-02 20:27:34,2024-10-02 20:28:33,2024-10-02 20:28:34,,2024-10-02 20:27:34,yes,yes,300,473621,,2024-10-02 20:28:34
Dg5gjVWe4kdLftxsMGXE4H0_OmXFuDGbIkbKi994lJ4pz35utUSffJwvFHcs5sZT,35554715,141366,355,2024-10-02 20:28:26,2024-10-02 20:28:58,2024-10-02 20:28:59,,2024-10-02 20:28:26,yes,yes,75,331021,,2024-10-02 20:28:59
97PrD2BdwS5At08O6PX1MU8Tqx7_LBS6FtPUVAf_M25fuBUO6fbtw4i93PmUg9ad,35554723,141366,356,2024-10-02 20:28:35,2024-10-02 20:29:24,2024-10-02 20:29:24,,2024-10-02 20:28:35,no,,,898118,,2024-10-02 20:29:24
7pmTAHnNCrJovTunP7Ctk3Y3iQwAUKYJfvDRyDD2cESX_2sEJVKdMEWHrtaCVR2N,35554759,141366,357,2024-10-02 20:30:39,2024-10-02 20:36:44,2024-10-02 20:36:44,,2024-10-02 20:30:40,no,,,572961,"This is all new and foreign to me, my only concern is that I go too far in my EV. And can't find a charging station.",2024-10-02 20:36:44
sqlFXpez4RtLZmqoOB7NAV3uG34T7FkC0kwLnpCjXMfPR4luYdgpMJ4fOq3sihFO,35554847,141366,358,2024-10-02 20:37:27,2024-10-02 20:37:52,2024-10-02 20:37:52,,2024-10-02 20:37:27,yes,no,,958706,,2024-10-02 20:37:52
0NIBQsuhYiszdx03dmwNGcHqlwYMk-DN-igqRcoXJTehnXjYKsHzPojbgE_K7z4t,35554902,141366,359,2024-10-02 20:41:30,2024-10-02 20:42:07,2024-10-02 20:42:07,,2024-10-02 20:41:30,yes,yes,30,786313,,2024-10-02 20:42:07
-hzA5a3xmKSw2tpLfEnrLWoVCiA_MvEn3E1yhHohQvnHW9B1Vc5ZBh0IEO4px9IN,35554929,141366,360,2024-10-02 20:43:26,2024-10-02 20:44:06,2024-10-02 20:44:06,,2024-10-02 20:43:26,yes,yes,500,176787,,2024-10-02 20:44:06
C07XoUJ-Xip-O0V2enqwqjtZqwHV16iBgZIXxzuIrtNz2GLbKU09kze3m-U8krDy,35554986,141366,361,2024-10-02 20:47:54,2024-10-02 20:48:36,2024-10-02 20:48:36,,2024-10-02 20:47:54,yes,no,,122094,,2024-10-02 20:48:36
FHQzZ7B3N18IsnARmn9wxk2S0PWD9yIPfijAcZx2lEHAqVkHUtgmukBo6SBEq61a,35555036,141366,362,2024-10-02 20:51:33,2024-10-02 20:52:28,2024-10-02 20:52:29,,2024-10-02 20:51:33,yes,no,,371531,,2024-10-02 20:52:28
R0c4CJapHDCIe-mq4IS_uJ9MtFHpTRIwttmJi8k3xKSwzKgDDJ-PFzDxbpk2pzL4,35555193,141366,363,2024-10-02 21:00:57,2024-10-02 21:01:18,2024-10-02 21:01:18,,2024-10-02 21:00:57,no,,,117053,,2024-10-02 21:01:18
CPjia3ZLrjmE1bC7XMc-QFwwHuwUWRbib-JdltaIcrgielEQvDtlTPzrUuD6VsSF,35555324,141366,364,2024-10-02 21:05:06,2024-10-02 21:05:35,2024-10-02 21:05:36,,2024-10-02 21:05:06,yes,no,,671710,,2024-10-02 21:05:36
DBKYEuR7QdR3NmW8pMDfgDqy0slWpCH2mOVX39z_MPcaRAgQju4dNs4BhHewGD3e,35555682,141366,365,2024-10-02 21:25:20,2024-10-02 21:26:13,2024-10-02 21:26:14,,2024-10-02 21:25:21,yes,yes,450,453675,,2024-10-02 21:26:14
9MW60irDzKrbYtdfqyJA9ZO8TcvthP0OtynlRg-541KnajEuA6R8RBP0_NoapUky,35555693,141366,366,2024-10-02 21:26:44,2024-10-02 21:27:09,2024-10-02 21:27:09,,2024-10-02 21:26:44,yes,yes,100,440859,,2024-10-02 21:27:09
d3YquaCOPO1JHHLOBM44buJ37YLAHBul3A1mDrfTVjFP0r_aDQy2csKLGOVyRyV7,35555721,141366,367,2024-10-02 21:28:11,2024-10-02 21:29:21,2024-10-02 21:29:22,,2024-10-02 21:28:11,no,,,625807,,2024-10-02 21:29:21
oRs7oplCoD7mPFtgcC6OExWUCZZMB2CO3jNEYHxPZ_bRAMXAi9DMX5IeozJ6_oLO,35555828,141366,368,2024-10-02 21:35:22,2024-10-02 21:36:23,2024-10-02 21:36:23,,2024-10-02 21:35:22,no,,,944944,,2024-10-02 21:36:23
EQGYmb6vRm5DmVmAIUzusJjV9jgnbrrWgLEdkjM7AAxO7HvFM3mn7f4532PGoKea,35555850,141366,369,2024-10-02 21:37:17,2024-10-02 21:38:17,2024-10-02 21:38:18,,2024-10-02 21:37:17,no,,,385330,,2024-10-02 21:38:17
Ox4ml8ImKxyyWslvgHAW5aHNCQQ9JReZPOMZcLHKhe6ZiVbkBk1d0rn26Mt_bCfR,35555851,141366,370,2024-10-02 21:37:18,2024-10-02 21:37:55,2024-10-02 21:37:55,,2024-10-02 21:37:18,no,,,850041,,2024-10-02 21:37:55
E9DW92CdJjCbgvbuGYzElHufhJ5npkkxJuhcrCIvOlevAP2hoq2k_-Jb5lgv7rwQ,35555938,141366,371,2024-10-02 21:44:08,2024-10-02 21:44:28,2024-10-02 21:44:28,,2024-10-02 21:44:08,no,,,631929,,2024-10-02 21:44:28
c0fb9dQP_pzq2JFuqe71UoMl7FsVAPiNicf1AhZ6N7T7lrVSJbSc1pQ_QTRh0NoP,35555976,141366,372,2024-10-02 21:46:36,2024-10-02 21:47:13,2024-10-02 21:47:13,,2024-10-02 21:46:36,yes,yes,200,347058,,2024-10-02 21:47:13
P5HbJZZOlGsJV1rZU7rmMtZZBjKWK9UaU6T-4_UMoxQqqEnE6dmVISdb8ctyv-3U,35555986,141366,373,2024-10-02 21:47:49,2024-10-02 22:10:08,2024-10-02 22:10:08,,2024-10-02 21:47:49,no,,,941135,,2024-10-02 22:10:08
rGl4B-FjTiz5pg3UW_qk5EWjPRfXed7uac5lVPbkZ0dlHq9U3VAllxdTH4FzUm-r,35556199,141366,374,2024-10-02 22:09:21,2024-10-02 22:09:59,2024-10-02 22:09:59,,2024-10-02 22:09:21,yes,yes,5000,838649,,2024-10-02 22:09:59
RoPwE7dJ5nom8o0QDVl3bom04mTLd1T3fJjkPfuC6BOyA9MQrrjRl6wo9z7lQICE,35556268,141366,375,2024-10-02 22:14:23,2024-10-02 22:17:49,2024-10-02 22:17:49,,2024-10-02 22:14:23,no,,,650209,We are fortunate to have extremely low electricity rates.. we use our car for local errands but even if we need to do multiple trips per month our electric bill rarely is over $30 for our BEV & home.,2024-10-02 22:17:49
PiFayCqHIG2MckE2N4usoeJDOYVY51xS_cGUoBWCksbGCpVm05G-uRkcbnoCcpek,35556289,141366,376,2024-10-02 22:16:52,2024-10-02 22:17:27,2024-10-02 22:17:27,,2024-10-02 22:16:52,no,,,742959,,2024-10-02 22:17:27
mFheKPVPYFh3S7eOWzl_RdlNAV6WJ0rSSRxyoHppHLxjh1tCL85aBPZfporJOsLY,35556313,141366,377,2024-10-02 22:19:46,2024-10-02 22:20:26,2024-10-02 22:20:26,,2024-10-02 22:19:46,yes,yes,500,393692,,2024-10-02 22:20:26
_vWTz4aHdNPXA0qSbyapMo9bDmoXD80g328P9HsfnwQj6COGaRW-uPmAZ_mJ6jM5,35556436,141366,378,2024-10-02 22:33:03,2024-10-02 22:33:32,2024-10-02 22:33:32,,2024-10-02 22:33:04,no,,,474187,,2024-10-02 22:33:32
TByRedjolounr9ygWkJMAXdj4UmOQgeN-Odn86mE8yr5wsZbWnm-LHd400KTaFi9,35556455,141366,379,2024-10-02 22:35:30,2024-10-02 22:36:07,2024-10-02 22:36:07,,2024-10-02 22:35:30,no,,,605851,,2024-10-02 22:36:07
0M8dS6qMGuqkXhi401bPa26YJjH1NAGw1LSR990eDcmXeeUitMQML4A5r0ZaNxJ1,35556545,141366,380,2024-10-02 22:48:27,2024-10-02 22:49:04,2024-10-02 22:49:04,,2024-10-02 22:48:27,no,,,926905,none,2024-10-02 22:49:04
VZABc4aRXw4EZ2Gw7FdrvCqJoKWBxhYsuKywHUoW86IBbTD-UArS6eKzJ20QdMs1,35556786,141366,381,2024-10-02 23:15:54,2024-10-02 23:16:34,2024-10-02 23:16:34,,2024-10-02 23:15:55,yes,yes,150,593007,,2024-10-02 23:16:34
lx-pep271_20jA4Bgt2nuKw7N3vmpNubAYXNGXy6W7a_LGXqsXwGcqimpyI3nGmf,35557001,141366,382,2024-10-02 23:51:56,2024-10-02 23:52:35,2024-10-02 23:52:35,,2024-10-02 23:51:56,yes,yes,100,285040,,2024-10-02 23:52:35
lYwVWDUWLySP0_6Fc7vUAvhjjNqSkCxrIPeBvyb7bDsSMAgHtBpZEZi-uJyWGGkp,35557346,141366,383,2024-10-03 00:19:45,2024-10-03 00:20:28,2024-10-03 00:20:30,,2024-10-03 00:19:47,no,,,567531,,2024-10-03 00:20:30
dipHeaQeD8AmqTvL28dzfdQR7sSKv3f0iH7toGQuq8F2CANVyhj6NQ590SVARCxf,35557364,141366,384,2024-10-03 00:21:22,2024-10-03 00:22:07,2024-10-03 00:22:09,,2024-10-03 00:21:23,no,,,905996,,2024-10-03 00:22:08
FAp_TlNKO8JfSR5B4QVLD8AdnE3M_K5L9IMdJupErCBCgVK8rJGBOaD65fP9ROgm,35557370,141366,385,2024-10-03 00:22:25,2024-10-03 00:23:45,2024-10-03 00:23:47,,2024-10-03 00:22:27,yes,yes,800,526181,,2024-10-03 00:23:47
yYzccpPcnye_0Iww8sCz8yyEjH7T4oUT1_YVMnWsVm2jAcBha6cUMzrwrnbmsr0y,35557417,141366,386,2024-10-03 00:29:34,2024-10-03 00:30:01,2024-10-03 00:30:03,,2024-10-03 00:29:36,no,,,295213,,2024-10-03 00:30:03
ILuxRcjb_igLvJnFbIpX7QJOGxI-QC9x12NsabAcsfaOOtYmMSvr1lKb-dmKjp4x,35557433,141366,387,2024-10-03 00:33:40,2024-10-03 00:34:36,2024-10-03 00:34:38,,2024-10-03 00:33:41,yes,yes,1,472382,,2024-10-03 00:34:38
9FNOJ7NYVMng_juVw-AcFmzbLnTAEOZA8RCmLp4USkG-qVtuwxkTiqC4xOZHbxPU,35557473,141366,388,2024-10-03 00:42:46,2024-10-03 00:44:22,2024-10-03 00:44:24,,2024-10-03 00:42:47,no,,,620784,Interesting,2024-10-03 00:44:24
oBveVBz1T6LyjsaDFE8OUt8JwEzVvm3OGbKT-Ng0CFa9KLZ_sVAC4Kkt4egnhBO9,35557498,141366,389,2024-10-03 00:47:46,2024-10-03 00:48:48,2024-10-03 00:48:49,,2024-10-03 00:47:47,no,,,832099,It’s a lot to read for 1 dollar shame on you ppl ,2024-10-03 00:48:49
zkPgySQLjtL9as-Zqfu_3RmKSraauKRsTD7uHFa9c-dDO8L9TkfDdP3yjBHdbnh5,35557510,141366,390,2024-10-03 00:49:31,2024-10-03 00:51:15,2024-10-03 00:51:17,,2024-10-03 00:49:32,yes,yes,200,574679,,2024-10-03 00:51:16
a-zIPpZ80OjP5dL6dxevNRFhVAF-s5h87Q0RRPX7mzhU0JqiZvgMZJePEhDBeOpR,35557537,141366,391,2024-10-03 00:54:17,2024-10-03 00:54:53,2024-10-03 00:54:55,,2024-10-03 00:54:19,no,,,230602,,2024-10-03 00:54:55
UN1NViVtG-UKsgzLNR0P0lxNaEhurbF2U1jS6rMcvkhEal3r_Viq7ludV1GWnXgm,35557567,141366,392,2024-10-03 01:03:33,2024-10-03 01:04:50,2024-10-03 01:04:52,,2024-10-03 01:03:35,yes,no,,373477,,2024-10-03 01:04:52
MnELAjC2P8FhcLrmTsst5yrW-5Ikd4iXSCeb3x1PWZiRCIg86oewREGFMF8wtQQu,35557633,141366,393,2024-10-03 01:20:23,2024-10-03 01:20:56,2024-10-03 01:20:57,,2024-10-03 01:20:23,no,,,539683,,2024-10-03 01:20:57
YvSit_uuYRDVOv287V2Pbdf8GqK1mD9RY5YClbeRVhMzl9i-IKJ90r3jqxN_R7oL,35557797,141366,394,2024-10-03 01:37:12,2024-10-03 01:37:45,2024-10-03 01:37:45,,2024-10-03 01:37:12,no,,,195518,,2024-10-03 01:37:45
yLCB1hkdgswrrUDb_GFfC9BGuFxnvFpiZjHt2Hkdn-soO2uPxfy6SEUFQgO3rkUZ,35557833,141366,395,2024-10-03 01:42:09,2024-10-03 01:42:32,2024-10-03 01:42:33,,2024-10-03 01:42:09,yes,yes,2000,389727,,2024-10-03 01:42:33
